[ 2026-04-19 00:41:25,243 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-19 00:41:26,910 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-19 00:41:26,910 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-19 00:41:26,911 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-19 00:41:26,980 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-19 00:41:26,981 ] 21 root - INFO - Data Initiation Completed
[ 2026-04-19 00:41:26,988 ] 25 root - INFO - Initiate the data Validation
[ 2026-04-19 00:41:27,078 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 00:41:27,079 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 00:41:27,079 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 00:41:27,079 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 00:41:27,249 ] 27 root - INFO - data Validation Completed
[ 2026-04-19 00:41:27,249 ] 30 root - INFO - data Transformation started
[ 2026-04-19 00:41:27,249 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-19 00:41:27,249 ] 65 root - INFO - Starting data transformation
[ 2026-04-19 00:41:27,280 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-19 00:41:27,280 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-19 00:41:27,306 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:41:27,309 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:41:27,310 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:41:27,312 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:41:27,313 ] 34 root - INFO - data Transformation completed
[ 2026-04-19 00:41:27,313 ] 35 root - INFO - Model Training stared
[ 2026-04-19 00:45:17,366 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:45:17,368 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:45:17,368 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:45:17,417 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:45:17,417 ] 114 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_19_2026_00_41_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908331635771033, precision_score=0.989019926799512, recall_score=0.9926530612244898), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9817170111287759, precision_score=0.9809372517871326, recall_score=0.9824980111376292))
[ 2026-04-19 00:45:17,421 ] 40 root - INFO - Model Training artifact created
