[ 2026-04-08 02:21:38,851 ] 16 root - INFO - Initiate the data ingestion
[ 2026-04-08 02:21:40,731 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-08 02:21:40,731 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-08 02:21:40,732 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-08 02:21:40,780 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-08 02:21:40,780 ] 18 root - INFO - Data Initiation Completed
[ 2026-04-08 02:21:40,785 ] 22 root - INFO - Initiate the data Validation
[ 2026-04-08 02:21:40,851 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 02:21:40,852 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 02:21:40,852 ] 32 root - INFO - Required number of columns:2
[ 2026-04-08 02:21:40,852 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-08 02:21:40,995 ] 24 root - INFO - data Validation Completed
