[ 2026-04-19 00:10:22,720 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-19 00:10:25,863 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-19 00:10:25,863 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-19 00:10:25,864 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-19 00:10:25,946 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-19 00:10:25,947 ] 21 root - INFO - Data Initiation Completed
[ 2026-04-19 00:10:25,974 ] 25 root - INFO - Initiate the data Validation
[ 2026-04-19 00:10:26,052 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 00:10:26,052 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 00:10:26,052 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 00:10:26,052 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 00:10:26,259 ] 27 root - INFO - data Validation Completed
[ 2026-04-19 00:10:26,260 ] 30 root - INFO - data Transformation started
[ 2026-04-19 00:10:26,260 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-19 00:10:26,260 ] 65 root - INFO - Starting data transformation
[ 2026-04-19 00:10:26,293 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-19 00:10:26,293 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-19 00:10:26,325 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:10:26,330 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:10:26,331 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:10:26,334 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:10:26,336 ] 34 root - INFO - data Transformation completed
[ 2026-04-19 00:10:26,336 ] 35 root - INFO - Model Training sstared
