[ 2026-04-19 00:33:05,524 ] 19 root - INFO - Initiate the data ingestion
[ 2026-04-19 00:33:07,710 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-19 00:33:07,711 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-19 00:33:07,712 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-19 00:33:07,778 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-19 00:33:07,778 ] 21 root - INFO - Data Initiation Completed
[ 2026-04-19 00:33:07,801 ] 25 root - INFO - Initiate the data Validation
[ 2026-04-19 00:33:07,880 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 00:33:07,881 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 00:33:07,881 ] 32 root - INFO - Required number of columns:2
[ 2026-04-19 00:33:07,881 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-19 00:33:08,071 ] 27 root - INFO - data Validation Completed
[ 2026-04-19 00:33:08,072 ] 30 root - INFO - data Transformation started
[ 2026-04-19 00:33:08,072 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-19 00:33:08,072 ] 65 root - INFO - Starting data transformation
[ 2026-04-19 00:33:08,119 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-19 00:33:08,119 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-19 00:33:08,137 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:33:08,142 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:33:08,142 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-19 00:33:08,147 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-19 00:33:08,149 ] 34 root - INFO - data Transformation completed
[ 2026-04-19 00:33:08,149 ] 35 root - INFO - Model Training sstared
